date,close,high,low,open,volume
2022-01-04,123352.6640625,124792.57842898832,122392.72115150778,124312.6069734922,3622369
2022-01-05,120472.8125,123832.61205179282,116633.04158366533,123832.61205179282,7414954
2022-01-06,119992.8515625,121912.7371875,118072.9659375,118552.93734375,3725569
2022-01-07,121912.734375,123832.61995570867,121432.76297982283,121912.734375,3270119
2022-01-10,119512.8828125,121912.73989708835,118072.968561747,121432.7684801707,3449197
2022-01-11,122872.671875,123352.64324951172,119512.87225341797,120472.8150024414,3958787
2022-01-12,123352.6640625,124792.57842898832,121432.77824051556,124312.6069734922,3552174
2022-01-13,124312.59375,124792.56515444016,122872.67953667954,123352.65094111969,4155984
2022-01-14,123352.6640625,123832.6355179961,120952.80678501945,123352.6640625,3769648
2022-01-17,121912.734375,122872.67716535433,119512.87739911418,122392.70577017717,3730393
2022-01-18,121432.78125,122392.72418478261,119992.8668478261,121432.78125,3607850
2022-01-19,121912.734375,123352.6485605315,118552.93460875984,118552.93460875984,4094609
2022-01-20,119992.8515625,121432.76578125,118552.93734375,120952.794375,5441986
2022-01-21,114233.1796875,117592.97909007352,113273.23700105042,116633.03640362395,6465040
2022-01-24,114233.1796875,115673.09371717437,111833.32297137605,111833.32297137605,4883822
2022-01-25,113273.2578125,115193.1435381356,111833.34351827331,113273.2578125,5702595
2022-01-26,113273.2578125,113273.2578125,113273.2578125,113273.2578125,0
2022-01-27,108953.5234375,114713.18106415198,106553.66609306166,114713.18106415198,6679404
2022-01-28,115673.1015625,116633.04431405602,109913.4450531639,110393.41642894191,4776510
2022-02-03,119032.9140625,121912.74262852823,119032.9140625,119512.88549017136,5171178
2022-02-04,119512.8828125,121912.73989708835,119032.91139558233,120472.82564633535,3037097
2022-02-07,118072.984375,118552.95585619919,114713.18400660569,118072.984375,4804261
2022-02-08,118072.984375,118072.984375,118072.984375,118072.984375,0
2022-02-09,118072.984375,118072.984375,118072.984375,118072.984375,0
2022-02-10,124312.59375,125752.50796332047,121912.73672779923,123832.62234555985,7269729
2022-02-11,126712.4609375,127192.43238044508,124792.5751657197,125272.54660866478,6057207
2022-02-14,127192.4375,127192.4375,124312.6087264151,124792.58018867925,4962205
2022-02-15,121912.734375,126712.44832677166,121912.734375,126232.47693159449,5097120
2022-02-16,125272.5546875,127192.44058309388,124792.58321360154,125752.52616139848,3499809
2022-02-17,127672.375,128632.31766917293,124792.5469924812,125272.51832706768,5433402
2022-02-18,126232.46875,127672.38284220532,124312.58329372623,126232.46875,3108887
2022-02-21,126232.46875,126232.46875,126232.46875,126232.46875,0
2022-02-22,126232.46875,126232.46875,126232.46875,126232.46875,0
2022-02-23,126232.46875,126232.46875,126232.46875,126232.46875,0
2022-02-24,117592.984375,120952.78392857143,117113.01301020407,120472.8125637755,5748069
2022-02-25,118072.984375,120952.81326219512,117593.01289380081,120472.84178099594,3309625
2022-02-28,118072.984375,118072.984375,118072.984375,118072.984375,0
2022-03-02,119992.8515625,121432.76578125,118072.9659375,119512.88015625,2903340
2022-03-03,123832.6171875,124312.58857194766,121912.7316497093,122872.67441860464,3088097
2022-03-04,123832.6171875,123832.6171875,123832.6171875,123832.6171875,0
