date,close,high,low,open,volume
2022-01-04,643979.125,650924.970724191,640010.0703004622,647948.1796995377,209259
2022-01-05,642986.9375,644971.4650848765,630087.5081983025,639017.8823302469,336895
2022-01-06,637033.3125,652909.5321261683,633064.2575934579,637033.3125,235833
2022-01-07,631079.75,643979.1788522013,630087.4862421383,642986.9150943396,458320
2022-01-10,619172.625,632072.0546875,618180.3611778846,632072.0546875,261638
2022-01-11,622149.375,635048.8038277512,617188.0562200957,635048.8038277512,272004
2022-01-12,653901.8125,657870.8675075873,627110.691198786,627110.691198786,437843
2022-01-13,660847.625,668785.7346096096,654894.0427927928,668785.7346096096,313767
2022-01-14,641994.6875,659855.4361476044,638025.6322449768,648940.5341962905,245855
2022-01-17,636041.125,652909.610374415,633064.3334633386,641002.4442277692,257927
2022-01-18,669778.0,676723.845925926,635048.7703703704,637033.2977777778,487240
2022-01-19,655886.375,674739.3872919818,653901.8473903177,670770.3320726173,320317
2022-01-20,682677.4375,686646.492369186,646955.9436773256,651917.2622638082,375814
2022-01-21,678708.4375,685654.2840826024,663824.4805372807,681685.2288925438,261918
2022-01-24,676723.875,679700.666239003,661839.9188049854,670770.2925219941,281941
2022-01-25,637033.3125,670770.2792056075,635048.7850467289,668785.7517523364,463077
2022-01-26,637033.3125,637033.3125,637033.3125,637033.3125,0
2022-01-27,589404.6875,641002.4042508417,585435.6323653199,632072.0301978114,600549
2022-01-28,589404.6875,589404.6875,589404.6875,589404.6875,0
2022-02-03,579482.0,595358.2191780822,575512.9452054794,584443.3184931506,536499
2022-02-04,582458.875,585435.6665247019,569559.4450596252,575513.0281090289,439674
2022-02-07,563605.8125,585435.615096831,562613.5487455986,584443.3513424296,375857
2022-02-08,563605.8125,563605.8125,563605.8125,563605.8125,0
2022-02-09,563605.8125,563605.8125,563605.8125,563605.8125,0
2022-02-10,564598.0625,575512.9635325132,558644.4801186292,568567.1174209139,294896
2022-02-11,542768.1875,553683.0870658135,540783.6603062158,552690.8234689214,365615
2022-02-14,521930.71875,535822.4108840304,516969.4001307034,527884.3010931559,441284
2022-02-15,525899.75,537806.9141509434,519946.1679245283,520938.4316037736,231203
2022-02-16,535822.4375,543760.5476851852,532845.6461805556,540783.7563657408,220846
2022-02-17,552690.875,561621.2482046678,537806.9196588869,538799.1833482945,391192
2022-02-18,550706.375,555667.6936936937,542768.2650900901,542768.2650900901,178702
2022-02-21,550706.375,550706.375,550706.375,550706.375,0
2022-02-22,550706.375,550706.375,550706.375,550706.375,0
2022-02-23,550706.375,550706.375,550706.375,550706.375,0
2022-02-24,512008.09375,533837.8961967054,511015.83000242244,531853.3687015504,382354
2022-02-25,534830.1875,537806.9788961039,519946.2305194805,522923.0219155844,249930
2022-02-28,534830.1875,534830.1875,534830.1875,534830.1875,0
2022-03-02,542768.1875,554675.3506627057,537806.8695155393,554675.3506627057,277236
2022-03-03,546737.3125,550706.3674001815,545745.0487749546,547729.5762250454,149397
2022-03-04,546737.3125,546737.3125,546737.3125,546737.3125,0
2022-03-07,507046.78125,515977.15508806263,501093.19869129156,510023.5725293542,339783
2022-03-08,493155.0625,500100.90845070424,489682.1395246479,490178.27137826965,403055
2022-03-10,493155.0625,493155.0625,493155.0625,493155.0625,0
2022-03-11,493155.0625,493155.0625,493155.0625,493155.0625,0
2022-03-14,487201.5,487201.5,458921.983197556,469340.75254582486,652287
2022-03-15,487201.5,487201.5,487201.5,487201.5,0
2022-03-16,487201.5,487201.5,487201.5,487201.5,0
2022-03-17,487201.5,487201.5,487201.5,487201.5,0
2022-03-18,500100.9375,512008.1026785714,498116.4099702381,512008.1026785714,340756
2022-03-21,500100.9375,500100.9375,500100.9375,500100.9375,0
2022-03-22,505062.21875,507046.7461321218,496131.84553045186,499108.6366036346,176727
2022-03-23,515977.15625,523915.2663461538,509031.30991586536,511015.8374399038,389211
2022-03-24,526892.0625,526892.0625,511015.84216101695,516969.4247881356,323285
2022-03-25,536814.625,542768.206792976,531853.3068391867,537806.8886321627,426757
2022-03-28,528876.625,535822.4718574109,522923.0419793621,535822.4718574109,206013
2022-03-29,537807.0,540783.791512915,528876.6254612546,535822.4723247233,215431
2022-03-30,556659.9375,564598.0471256685,546737.3004679144,547729.564171123,553893
2022-03-31,591389.1875,591389.1875,557652.2204278524,559636.7479026846,655161
2022-04-01,582458.875,592381.5134156729,580474.3473168655,585435.6665247019,346173
2022-04-04,580474.3125,582458.8400641026,557652.2455128205,571543.9384615385,314618
2022-04-05,595358.25,604288.62375,586427.87625,590396.93125,357713
2022-04-06,593373.6875,600319.533340301,585435.5779682274,585435.5779682274,236192
2022-04-07,578489.75,587420.1234991424,573528.4313893653,586427.8597770154,251110
2022-04-08,596350.4375,600319.4919925125,581466.4831530782,582458.7467762063,257178
2022-04-11,580474.3125,591389.2141025641,576505.2573717949,590396.9503205129,233199
2022-04-12,572536.1875,577497.5062824957,564598.077448007,568567.1324740035,298986
2022-04-13,594366.0,596350.5275459099,570551.6694490818,571543.9332220367,362650
2022-04-14,615203.5,615203.5,592381.4346774194,597342.7532258065,530368
2022-04-15,608257.6875,615203.5338499185,601311.8411500816,602304.1049143557,229976
2022-04-18,596350.4375,611234.3918469218,595358.1738768718,602304.0192387687,165229
2022-04-19,605280.9375,609249.9928278689,600319.618340164,601311.8821721312,117792
2022-04-20,602304.125,607265.4439868204,595358.2784184514,605280.9163920922,171244
2022-04-21,605280.9375,618180.3673155737,604288.6736680327,606273.2013319673,175316
2022-04-22,591389.1875,600319.561136745,585435.6050755034,598335.0336619128,198306
2022-04-25,573528.375,583451.0112456748,568567.0568771627,578489.6931228373,247639
2022-04-26,576505.1875,585435.5604561102,575512.92383821,576505.1875,144403
2022-04-27,585435.625,586427.8887711865,555667.7118644068,555667.7118644068,264329
2022-04-28,593373.6875,603296.3244147158,578489.7321279264,603296.3244147158,301269
2022-04-29,606273.1875,623141.6722585924,595358.2855973813,599327.3408346972,402673
2022-05-02,606273.1875,608257.7151186579,596350.5494067103,599327.3408346972,194770
2022-05-03,619172.625,625126.2079326924,603296.4038461539,609249.9867788461,272983
2022-05-04,607265.375,630087.439746732,606273.1113153595,625126.1213235294,201083
2022-05-06,612226.75,614211.2775526742,599327.3209076175,600319.5846839546,305865
2022-05-10,588412.4375,592381.492727656,563605.84232715,571543.952782462,388795
2022-05-11,579482.0,586427.845890411,570551.6267123288,582458.7910958905,277659
2022-05-12,559636.6875,579481.960106383,559636.6875,566582.532912234,316270
2022-05-13,584443.3125,588412.3672538201,564598.0387308998,564598.0387308998,247619
2022-05-16,582458.875,598335.0964650767,576505.2919505963,593373.7772572401,140125
2022-05-17,586427.875,589404.6662436548,582458.8200084602,584443.3475042301,132614
2022-05-18,598335.0,602304.0547263682,587420.0995024876,594365.9452736318,202035
2022-05-19,586427.875,591389.1937394247,581466.5562605753,581466.5562605753,193112
2022-05-20,600319.5625,605280.8811983471,589404.6613636364,590396.9251033058,280576
2022-05-23,606273.1875,618180.3532119476,601311.8684533552,610242.2427373158,213765
2022-05-24,580474.3125,609249.9621794872,578489.7849358974,609249.9621794872,315943
2022-05-25,583451.0625,587420.1173469388,574520.6890943877,585435.5899234693,232037
2022-05-26,577497.5,588412.4012027492,574520.7087628866,586427.8737113402,203198
2022-05-27,585435.625,591389.2076271187,580474.3061440678,585435.625,196176
2022-05-30,576505.1875,593373.6697504303,564598.0235585198,592381.4060886403,392919
2022-05-31,570551.625,575512.9434782609,559636.7243478261,571543.8886956521,586302
2022-06-02,564598.0625,567574.8536906855,558644.4801186292,564598.0625,246437
2022-06-03,564598.0625,570551.6448813708,561621.2713093146,568567.1174209139,193614
2022-06-07,531853.4375,559636.8260261194,531853.4375,557652.2982742537,492451
2022-06-08,542768.1875,546737.2418875686,537806.8695155393,541775.9239031079,260244
2022-06-09,551698.6875,551698.6875,534830.2024505396,542768.3130620504,419645
2022-06-10,555667.6875,558644.4786830357,543760.5227678572,544752.7864955358,194053
2022-06-13,544752.8125,555667.7140255009,541776.0211748633,541776.0211748633,208536
2022-06-14,526892.0625,534830.1726694915,513992.6334745763,533837.9088983051,440669
2022-06-15,523915.25,532845.6235795454,516969.40388257575,529868.8323863636,218355
2022-06-16,544752.8125,558644.5053506375,532845.6471994536,532845.6471994536,324363
2022-06-17,551698.6875,560629.0619379496,530861.1471447842,536814.7301034173,397490
