date,close,high,low,open,volume
2022-01-04,626883.9375,627857.3597631988,603521.8031832299,609362.3367624223,406952
2022-01-05,646352.4375,648299.2821912651,618123.1894766566,634671.3693524096,523345
2022-01-06,671661.375,672634.7972826087,644405.5510869565,652192.929347826,692603
2022-01-07,699890.625,702810.8918636997,672634.8009388039,700864.0472878999,836306
2022-01-10,691129.8125,712545.1024647887,676528.4784330986,712545.1024647887,549323
2022-01-11,714492.0,715465.4223433243,688209.5967302453,689183.0190735694,462973
2022-01-12,752455.4375,753428.8597994825,727146.457713454,730066.7246119017,646296
2022-01-13,734933.8125,746614.879718543,722279.323013245,745641.4574503312,545491
2022-01-14,696970.375,732013.5782122905,693076.68575419,726173.0443435755,319701
2022-01-17,688209.5625,712545.1198727016,679448.7618458275,694050.0962694484,281141
2022-01-18,675555.0625,700864.0417867434,672634.7956592218,694050.0858249279,245949
2022-01-19,635644.8125,674581.7075995406,625910.5887251148,671661.4404670751,440752
2022-01-20,677501.9375,678475.3598239942,616176.331088362,622990.2873563218,450658
2022-01-21,675555.0625,691129.8189841498,660953.7282961095,678475.3293407781,324652
2022-01-24,653166.4375,675555.1529433681,645379.0582153503,674581.7305327869,246196
2022-01-25,625910.5,650246.0559875583,613256.0108864697,636618.1446345256,349700
2022-01-26,625910.5,625910.5,625910.5,625910.5,0
2022-01-27,593787.625,651219.5428278688,588920.5133196722,626883.9844262295,882032
2022-01-28,622016.875,625910.5643583725,605468.695226917,611309.2292644758,528869
2022-02-03,659006.9375,672634.8505354505,643432.1797451994,659006.9375,356414
2022-02-04,659980.3125,668741.113108407,650246.0896017699,661927.157079646,217715
2022-02-07,622016.875,659006.9239045383,621043.4526604068,658033.5015649452,317108
2022-02-08,622016.875,622016.875,622016.875,622016.875,0
2022-02-09,622016.875,622016.875,622016.875,622016.875,0
2022-02-10,643432.125,648299.2363842663,596707.8557110439,596707.8557110439,694375
2022-02-11,616176.3125,640511.8698657188,616176.3125,627857.380035545,310519
2022-02-14,602548.375,622990.2423263328,601574.9527463651,615202.8642972537,219372
2022-02-15,605468.75,636618.2676848875,605468.75,613256.1294212219,277189
2022-02-16,635644.8125,639538.5020099541,619096.6320826953,632724.5453675345,380506
2022-02-17,622990.25,636618.16171875,618123.138671875,632724.47265625,294891
2022-02-18,612282.6875,630777.7130365659,612282.6875,616176.3770866455,182644
2022-02-21,612282.6875,612282.6875,612282.6875,612282.6875,0
2022-02-22,612282.6875,612282.6875,612282.6875,612282.6875,0
2022-02-23,612282.6875,612282.6875,612282.6875,612282.6875,0
2022-02-24,534408.875,564584.9681238616,533435.4526411658,561664.7010473588,498865
2022-02-25,539275.9375,549010.1601985559,531488.5593411552,547063.3156588448,371646
2022-02-28,539275.9375,539275.9375,539275.9375,539275.9375,0
2022-03-02,540249.375,549983.597972973,534408.8412162162,549983.597972973,276155
2022-03-03,543169.6875,549983.6441532258,536355.7308467742,544143.1098790322,228286
2022-03-04,543169.6875,543169.6875,543169.6875,543169.6875,0
2022-03-07,500339.0625,512020.1301070039,489631.4171935798,508126.4409046693,454602
2022-03-08,489631.40625,499365.6290382704,484764.29485586483,487684.56169234595,289591
2022-03-10,489631.40625,489631.40625,489631.40625,489631.40625,0
2022-03-11,459455.34375,486224.45805746823,457021.78790386656,482817.4798728814,713668
2022-03-14,444854.0,459455.33479212254,441933.7330415755,452641.3785557987,617168
2022-03-15,444854.0,444854.0,444854.0,444854.0,0
2022-03-16,430252.625,434633.0250282805,425385.51385746605,434146.3139140271,425454
2022-03-17,430252.625,430252.625,430252.625,430252.625,0
2022-03-18,475516.8125,478437.07951637666,460428.7662487206,467242.7226202661,559378
2022-03-21,475516.8125,475516.8125,475516.8125,475516.8125,0
2022-03-22,478923.78125,483790.8928480691,474543.3808117378,483304.18168826215,222919
2022-03-23,494498.53125,496445.37586122047,481357.33012426185,484277.5970410925,307359
2022-03-24,516887.25,517860.67231638415,498392.2259887005,504232.7598870056,523564
2022-03-25,512020.125,522727.77019961976,506179.5912547528,521754.3479087452,322408
2022-03-28,509099.875,515913.8312619503,496445.3847992352,512993.56429254304,186517
2022-03-29,509099.875,517860.6759082218,508126.4526768642,513966.98661567876,144803
2022-03-30,511046.6875,516887.22107142856,507152.99845238094,513966.95428571425,175835
2022-03-31,517860.6875,519807.53218984965,503259.3523261278,509099.8863956767,169611
2022-04-01,509099.875,530515.1661089866,506179.60803059273,523701.20984703634,198741
2022-04-04,512020.125,512993.5472908745,502285.9020912548,508126.4358365019,95926
2022-04-05,525648.0625,531488.5965277777,519807.5284722222,522727.79548611114,225685
2022-04-06,515913.78125,524674.5813089622,514940.3590212264,521754.3146226415,125060
2022-04-07,504232.75,510073.2837837838,497418.79391891893,505206.17229729734,196367
2022-04-08,511046.6875,512993.5320238095,499365.6203571428,504232.73166666663,128480
2022-04-11,496445.375,510073.28725490195,493525.10808823525,504232.7534313725,111018
2022-04-12,491578.25,495471.9391089109,483790.87178217823,483790.87178217823,149845
2022-04-13,504232.75,504232.75,491578.26013513515,493525.10472972976,89777
2022-04-14,500339.0625,505206.1740029183,496445.3732976654,496445.3732976654,126954
2022-04-15,491578.25,499365.62821782177,488657.98316831683,496445.3613861386,79943
2022-04-18,486711.15625,490604.8455,480383.91121875,486711.15625,81451
2022-04-19,489631.40625,496445.3622017893,486224.42827410536,489631.40625,86974
2022-04-20,491578.25,499365.62821782177,485737.71633663366,490604.82772277226,131581
2022-04-21,489631.40625,495471.9399229622,486711.1394135189,491578.2508076541,110061
2022-04-22,473083.25,485251.029063786,470162.98302469135,484764.31790123455,239523
2022-04-25,473083.25,484277.6067386831,458968.6262860082,462375.6044238683,229146
2022-04-26,462375.59375,481357.32865131577,462375.59375,474543.3725328947,198963
2022-04-27,450694.53125,454101.5093480022,442907.1527402808,448747.6866225702,283075
2022-04-28,488658.0,491578.26693227096,457021.77490039845,457508.48605577694,553556
2022-04-29,505206.1875,512993.56611271674,488658.0079479769,492551.6972543353,479495
2022-05-02,512020.125,515913.8141634981,499365.6352186312,499365.6352186312,223203
2022-05-03,503259.3125,512020.1129110251,501312.4679642166,505206.15703578334,161916
2022-05-04,504232.75,511046.7060810811,502285.90540540544,505206.17229729734,130210
2022-05-06,506179.59375,510073.2829326923,496445.37079326925,504232.74915865384,200642
2022-05-10,487684.59375,491578.2831212575,467242.7245508982,476976.9479790419,449131
2022-05-11,506179.59375,506179.59375,481844.03635817306,483304.1698016827,238476
2022-05-12,472596.53125,500339.0670700309,472596.53125,497418.8001416066,276864
2022-05-13,496445.375,501312.48651960783,479410.48468137253,479897.1958333333,220604
2022-05-16,493525.125,510073.3047337278,491578.28032544383,501312.5036982249,140135
2022-05-17,491578.25,495471.9391089109,483790.87178217823,487684.5608910891,159223
2022-05-18,498392.21875,511046.7086791992,496445.3741455078,506179.59716796875,168961
2022-05-19,488658.0,493525.11155378487,481844.0438247012,481844.0438247012,200969
2022-05-20,530515.125,531488.5472477064,491578.2350917431,491578.2350917431,531053
2022-05-23,528568.3125,540249.380179558,523701.2009668508,532462.0017265193,270359
2022-05-24,524674.625,536355.6927179963,522727.78038033395,529541.7365491651,198053
2022-05-25,519807.53125,535382.2887406367,519807.53125,534408.866397472,198348
2022-05-26,519807.53125,532462.0217111424,518834.1089068352,528568.3323384832,240223
2022-05-27,535382.3125,549010.2259090908,526621.5110227272,526621.5110227272,330735
2022-05-30,542196.25,548036.7841113106,526621.4923698384,544143.0947037702,249598
2022-05-31,569452.0625,570425.4848290598,540249.3926282051,542196.2372863247,721921
2022-06-02,554850.6875,584053.3552631579,554850.6875,580159.6662280702,426553
2022-06-03,569452.0625,572372.3294871795,554850.7275641026,565558.3731837607,296215
2022-06-07,541222.8125,564584.9482913669,540249.3901753597,558744.4143435252,309089
2022-06-08,565558.375,574319.175989673,545116.5060240964,551930.4623493976,282013
2022-06-09,573345.6875,574319.1097198642,558744.3542020373,569451.9986205433,401828
2022-06-10,567505.1875,573345.7211620926,557770.9647298456,572372.2988850771,239123
2022-06-13,547063.3125,558744.3796708185,541222.7789145907,558744.3796708185,209761
2022-06-14,549010.1875,552903.8767730496,533435.4304078014,543169.6535904255,247673
2022-06-15,546089.9375,554850.7386363636,543169.6704545454,547063.3598484849,199680
2022-06-16,568478.625,581133.1149400685,554850.7127568494,570425.4696061644,327560
2022-06-17,562638.125,568478.6591695502,547063.3672145329,555824.1684688581,311529
2022-06-20,556797.5,573345.6774475524,549983.5445804195,567505.1442307692,228497
2022-06-21,552903.875,563611.5204665493,549983.6080545775,560691.2535211268,180207
2022-06-22,538302.5,558744.3670886076,537329.0777576853,557770.944846293,209917
2022-06-23,536355.75,550957.0862068966,531488.6379310344,538302.5948275862,321659
2022-06-24,528568.3125,546089.914019337,524674.6232734807,546089.914019337,287977
2022-06-27,530515.125,538302.5029816513,520780.9025229358,529541.7027522936,269873
2022-06-28,554850.6875,554850.6875,528568.2865131579,533435.3978070176,185976
2022-06-29,515913.78125,546089.8703419811,509099.82564858487,543169.6036556604,444423
2022-06-30,502285.875,524674.5864825582,502285.875,516887.20857558143,312772
2022-07-01,495471.96875,512020.1484528487,489631.43473722984,502285.9250982318,243043
2022-07-04,486711.15625,499365.6463125,484277.60046875,497418.8016875,167301
2022-07-05,498392.21875,508126.44177246094,491578.26263427734,494498.5295410156,228594
2022-07-06,492551.71875,508126.4766551383,486711.1845355731,493525.1411190711,194029
2022-07-07,510073.3125,517860.6913167939,499365.6666269084,501312.5113311069,207035
2022-07-08,525648.0625,540249.3975694445,525648.0625,535382.2858796297,272655
2022-07-11,508126.4375,523701.1942049808,502285.9037356322,523701.1942049808,355703
2022-07-12,500339.0625,508126.4409046693,495471.95099708176,505206.1740029183,171869
2022-07-13,503259.3125,510073.2683752418,497418.77889264986,502285.8902321083,209137
2022-07-14,515913.78125,518834.0479363207,500339.0255896226,501312.4478183962,226078
2022-07-15,498392.21875,515913.8201904297,493525.10723876953,514940.3978881836,229151
2022-07-18,501312.5,503259.3446601942,491578.2766990291,500339.0776699029,160879
2022-07-19,507153.03125,515913.8321737044,503259.3419505758,511046.7205494242,161162
2022-07-20,525648.0625,532462.0188657407,520780.95081018517,523701.2178240741,225805
2022-07-21,553877.3125,556797.5795254833,525648.0645869947,526621.4869288225,363430
2022-07-22,546089.9375,563611.5397727273,540249.4034090908,541222.8257575757,160911
2022-07-25,541222.8125,556797.5696942447,537329.1232014388,547063.3464478417,169024
2022-07-26,551930.4375,556797.548941799,532461.9917328042,538302.525462963,235116
2022-07-27,549983.5625,571398.851659292,541222.7623893806,568478.5849557522,417385
2022-07-28,582106.5625,588920.5189172241,540249.4016513377,556797.5815217391,553103
2022-07-29,586973.6875,588920.5322346601,579186.3085613599,586973.6875,323842
2022-08-01,596707.875,611309.209624796,585026.8073001631,591840.7634584013,281615
2022-08-02,593787.625,596707.8920081968,587947.0909836066,595734.4696721312,163355
2022-08-03,597681.25,600601.516693811,581133.0720684039,591840.7166123779,235931
2022-08-04,592814.1875,602548.4106116585,586000.231321839,601574.9883004926,208348
2022-08-05,624937.0625,628830.7513629283,594760.9738123053,596707.8182437695,399896
2022-08-08,634671.375,636618.219708589,617149.7726226994,620070.0396855829,202613
2022-08-09,653166.4375,662900.6616058123,635644.834109538,648299.3254470939,345726
2022-08-10,630777.6875,654139.824074074,628830.8427854938,653166.401716821,219243
2022-08-11,640511.875,660953.7433510638,631751.0742781155,637591.6080927053,241071
2022-08-12,647325.875,647325.875,627857.427631579,635644.8065789473,181272
2022-08-16,644405.5625,658033.4746978852,641485.2956004532,657060.0523980362,144859
2022-08-17,640511.875,655113.2095364742,630777.6519756839,648299.2534194529,156969
2022-08-18,633697.9375,638565.0491551459,627857.4035138249,636618.2044930876,109764
2022-08-19,622990.25,639538.428515625,622016.827734375,639538.428515625,125190
2022-08-22,622016.875,631751.0983959311,610335.8069248826,618123.1856416275,137281
2022-08-23,603521.8125,627857.3694556451,600601.5456653226,624937.1026209677,186219
2022-08-24,597681.25,607415.4723127036,587947.0276872964,603521.7833876222,211971
2022-08-25,599628.125,602548.3918425324,590867.3244724026,602548.3918425324,130414
2022-08-26,599628.125,618123.1483360389,597681.2804383116,603521.8141233766,158260
2022-08-29,587947.125,598654.7713162252,575292.6338990066,582106.5906456953,184247
2022-08-30,594761.0625,598654.7519435352,585026.8388911621,592814.2177782324,106908
2022-08-31,615202.875,615202.875,586973.629153481,586973.629153481,220189
2022-09-01,606442.125,615202.9261637239,596707.9014847513,607415.5473515249,216332
2022-09-02,593787.625,614229.4940573771,590867.3579918033,613256.0717213115,222946
2022-09-05,599628.125,603521.8141233766,593787.591314935,598654.7027191558,117418
