Date,Close,High,Low,Open,Volume
2020-11-27,135.75083923339844,135.79320570567802,135.20858200214326,135.23399929982457,4708200
2020-11-30,135.58143615722656,136.0135433052265,135.36113559169027,135.58990428342528,13071600
2020-12-01,133.58238220214844,134.634083076565,132.88689946060973,134.47293400515375,13662800
2020-12-02,132.52212524414062,133.09885532122848,131.86905258728564,133.0564585944414,12114300
2020-12-03,133.59078979492188,133.85372458360237,132.80202425372497,133.10735577261744,9626500
2020-12-04,131.63157653808594,132.13197698676726,131.2668818542852,132.04717058992745,12734500
2020-12-07,132.8189697265625,133.0564483213355,132.4627388927902,132.60693434254284,9316100
2020-12-08,133.44662475585938,134.06577757413564,133.32788542414906,133.64170668351073,7397200
2020-12-09,133.0055694580078,133.4296402501454,132.31856390378957,132.77656760660173,7750100
2020-12-10,134.18446350097656,134.25230342785397,133.0140241673646,133.36176526526546,10025100
2020-12-11,134.6595001220703,135.18534398622566,134.2778388354537,134.55771428845193,8135900
2020-12-14,134.2862548828125,134.59158636238402,133.25152114324308,133.57381907768334,7535900
2020-12-15,133.83680725097656,134.33720791400538,133.42121302111454,133.81984078769537,6847500
2020-12-16,133.48056030273438,133.91310796070698,132.64089526378154,132.8020442760508,9954200
2020-12-17,133.1273651123047,134.53675228904123,132.81321648054916,134.25657197401887,9422700
2020-12-18,132.728271484375,133.61975161282624,132.60090977738935,133.3989965027626,6505000
2020-12-21,133.25474548339844,133.58586539685356,132.83023210947545,133.46700217035993,8988200
2020-12-22,133.9423828125,134.00182087123915,133.36505115390108,133.7725801455658,7370800
2020-12-23,133.0169677734375,133.03395192928332,131.98965305927823,132.97451386138044,9266600
2020-12-24,133.54336547851562,133.66222866407492,133.16980472041183,133.21224567909218,3117100
2020-12-28,133.60281372070312,133.67922299828388,132.5330449692226,132.7707713584405,7791100
2020-12-29,133.4329833984375,133.5433480137348,132.7537597318779,132.7792294858014,9030900
2020-12-30,133.72169494628906,133.74716470891698,133.025486887477,133.14436305323173,9097300
2020-12-31,133.91693115234375,134.21409557596022,133.6792047954965,133.68770335081487,7742100
2021-01-04,133.75559997558594,134.29897629902501,132.90657366051778,133.01695122711294,13152900
2021-01-05,132.76229858398438,133.25473561588447,132.15949689251843,133.25473561588447,10458100
2021-01-06,130.0369110107422,130.62274140983442,129.29824909422203,130.59727164944928,22827300
2021-01-07,128.8906707763672,129.1963207394416,128.4237037556823,128.87368662422077,14651900
2021-01-08,128.47470092773438,129.01807738953192,127.91434030787904,128.6105353268462,13622500
2021-01-11,128.26239013671875,128.38125328270016,127.76995340190686,128.20295208617242,8370700
2021-01-12,128.1604766845703,128.33877785118383,127.29446650622155,128.0246294104942,12186300
2021-01-13,129.60391235351562,129.960514945405,128.68697497617248,128.763384265098,12533300
2021-01-14,128.3897705078125,129.59538641550134,128.0246824269346,129.54444690540547,14835500
2021-01-15,128.8992156982422,129.35768433022025,128.6020512267874,129.21335137283612,11624700
2021-01-19,129.31517028808594,129.357624186429,128.63594677992947,128.7293401742399,9575600
2021-01-20,129.44252014160156,129.45949133529754,128.87366127504373,129.04347685288113,5368900
2021-01-21,128.53411865234375,128.83976870421242,128.28790667269877,128.57657256748695,8162700
2021-01-22,128.95018005371094,129.06054471583923,128.55962206930175,128.92471028897984,9507200
2021-01-25,130.4698944091797,130.48687856579326,129.59539819275685,129.69727722220708,8712600
2021-01-26,130.22369384765625,130.4104807214267,129.8331359420135,129.98596745469695,7690300
2021-01-27,130.55477905273438,131.1745646303522,130.35100807490468,130.80948953624318,7895200
2021-01-28,129.83316040039062,130.29164206969435,129.18790477724815,130.2406895857901,10667800
2021-01-29,129.05203247070312,129.46806013395727,128.45771649113772,128.55959552902985,14965900
2021-02-01,129.2015838623047,129.50758813236268,128.76808321727654,128.9125834322859,8165500
2021-02-02,128.3686065673828,128.4281005658982,127.94360126035147,128.13060463305587,9177500
2021-02-03,127.22956848144531,128.0030811679237,127.14457521147494,127.86707637181364,9633100
2021-02-04,126.88949584960938,127.06800366221351,126.48149466810183,126.78749879676342,8262600
2021-02-05,125.82711791992188,127.13614202569437,125.81862247980456,126.73663584784124,10258900
2021-02-08,126.37960815429688,126.87261600840209,125.83560172392842,126.0566128479176,11574800
2021-02-09,126.47306060791016,127.2210740221266,126.36256805908734,126.8385718789955,5218300
2021-02-10,127.31458282470703,127.31458282470703,126.77057657577375,126.88957753741127,8079800
2021-02-11,126.6175537109375,127.32305092264927,126.43904582174405,127.22954926071542,11962700
2021-02-12,125.04508209228516,125.86959355832552,124.97707967579231,125.54658532251823,14088400
2021-02-16,123.14106750488281,123.81258333865478,122.96257248992607,123.43857648999234,17789100
2021-02-17,123.92301177978516,124.42452777822578,123.23450542394627,124.05901655801074,11199100
2021-02-18,123.42154693603516,123.76155898679313,122.67354636463467,122.92004375256737,10755300
2021-02-19,121.78105163574219,122.6735655748123,121.42404865414126,122.4525544646768,12741700
2021-02-22,120.85453796386719,122.18056580164063,120.46354023117239,121.57705238360766,13203900
2021-02-23,120.50602722167969,121.12653143528942,119.97051630068057,120.29352453495112,12658500
2021-02-24,119.71552276611328,120.00452333688503,118.28751079043926,118.44901492414583,17363100
2021-02-25,117.76042938232422,118.93344782772046,116.11991561576632,118.59344887230674,52621700
2021-02-26,121.65355682373047,121.80656553141691,118.72951722928578,119.65603897494836,45423300
2021-03-01,120.0467758178711,120.34464271827405,119.22127233637245,119.706367633759,22048000
2021-03-02,120.05529022216797,120.10635014940706,119.3914722108415,119.48508640602631,12482200
2021-03-03,118.75318908691406,119.27231995483429,118.08938410639162,118.61703361876629,19763700
2021-03-04,117.98727416992188,119.09362022563988,117.40857767090175,118.82980194016072,22366600
2021-03-05,118.217041015625,118.58297910826876,117.43409192336912,117.5872716870606,20598000
2021-03-08,117.29794311523438,118.20854216302634,117.29794311523438,118.14897657353043,15236600
2021-03-09,118.92341613769531,118.9915003703581,118.26811676083824,118.52342938688875,14463400
2021-03-10,119.16165924072266,119.27228471429834,118.53189006687596,118.97443091838268,12387600
2021-03-11,118.30213928222656,118.61703044663486,117.83408133633468,118.43830773247133,14150700
2021-03-12,115.79159545898438,116.13201659023836,115.44266866910091,116.0809436812465,20402700
2021-03-15,116.4724349975586,116.66816904918831,116.08947255367801,116.15755678592737,11366500
2021-03-16,116.00437927246094,116.69371435924711,115.52780256978116,116.60861879704927,15567900
2021-03-17,115.13627624511719,115.3405288885691,114.16609891375886,115.01713211620428,27107500
2021-03-18,113.97039031982422,114.43846128266021,113.34913957955409,113.45125943117685,21615100
2021-03-19,114.67679595947266,114.74488021666184,113.86831650718553,114.10660491447554,18685000
2021-03-22,115.96178436279297,116.08944713996554,115.20436530022099,115.47670216959983,17047500
2021-03-23,117.00859069824219,117.05113198105332,115.8681960354855,116.24265282154833,16768400
2021-03-24,117.63832092285156,117.68087518192425,116.54899941642121,116.64261359208648,13863000
2021-03-25,116.71070861816406,118.00428289650071,116.66815435515036,117.77450026481706,20782000
2021-03-26,116.3022689819336,116.79587008801961,115.92781207485153,116.09801621832236,8433300
