date,close,high,low,open,volume
2022-01-04,72089.234375,72547.23459339263,71722.8342002859,72180.83441867853,12427416
2022-01-05,70898.4453125,72364.0462491925,69982.44472706718,72180.84613210594,25470640
2022-01-06,70440.4453125,71081.64572496749,70165.64513572822,70257.24519465215,12931954
2022-01-07,71722.8515625,71814.45162835249,70898.45096982758,71539.65143079501,15163757
2022-01-10,71448.0390625,71539.63911258013,70623.63861177885,71539.63911258013,9947422
2022-01-11,72272.4609375,72364.06101473384,71448.06024239544,71814.4605513308,13221123
2022-01-12,72272.4609375,72913.66147813688,71997.66070579848,72822.06140090304,11000502
2022-01-13,71356.4453125,72638.84612684532,71356.4453125,72638.84612684532,13889401
2022-01-14,70806.84375,71539.64420278138,70623.64363680466,71173.24397639069,10096725
2022-01-17,70990.0234375,71264.82352822581,70440.42325604838,71081.62346774193,8785122
2022-01-18,70532.046875,71264.847362013,70165.64663149351,71081.64724025974,9592788
2022-01-19,69890.84375,70440.44409403669,69707.6436353211,70074.0438646789,10598290
2022-01-20,70074.046875,70257.24699754902,69524.44650735294,69799.24669117646,9708168
2022-01-21,69249.640625,69432.84073247355,68425.24014136905,69432.84073247355,15774888
2022-01-24,68791.640625,69432.84100366179,68425.24040862184,69066.44078728363,13691134
2022-01-25,67784.046875,68700.04750844595,67051.24636824324,68516.84738175676,17766704
2022-01-26,67784.046875,67784.046875,67784.046875,67784.046875,0
2022-01-27,65310.8359375,67784.03729838709,65310.8359375,67600.83719758065,22274777
2022-01-28,67142.828125,67509.22827847885,65219.22731923602,65310.82735760573,21367447
2022-02-03,67142.828125,68608.42873891542,67142.828125,68608.42873891542,17744721
2022-02-04,67784.046875,68333.64725506757,67234.44649493243,68058.84706503378,12730034
2022-02-07,66868.03125,67417.63150684931,66318.43099315069,67326.0314640411,14240838
2022-02-08,66868.03125,66868.03125,66868.03125,66868.03125,0
2022-02-09,66868.03125,66868.03125,66868.03125,66868.03125,0
2022-02-10,69066.4375,69432.837698939,68425.23715185677,69249.6375994695,17746033
2022-02-11,68608.4296875,69158.02992531708,68333.62956859145,68700.02972713618,12205407
2022-02-14,67509.234375,68242.03474813433,66959.63409514926,68150.43470149253,13993255
2022-02-15,67509.234375,67967.23460820895,66959.63409514926,67875.63456156716,9320365
2022-02-16,68516.8359375,68608.43598554478,67967.23564923128,68333.63584141043,10767386
2022-02-17,68700.0546875,69249.655125,68242.05432291667,68700.0546875,13605382
2022-02-18,68058.828125,68516.82831426649,67509.22789788022,68333.62823855989,10122226
2022-02-21,68058.828125,68058.828125,68058.828125,68058.828125,0
2022-02-22,68058.828125,68058.828125,68058.828125,68058.828125,0
2022-02-23,68058.828125,68058.828125,68058.828125,68058.828125,0
2022-02-24,65494.046875,66226.84739947552,65310.84674388112,66226.84739947552,15759283
2022-02-25,65860.421875,66501.6220879694,65860.421875,66043.6219358484,13168484
2022-02-28,65860.421875,65860.421875,65860.421875,65860.421875,0
2022-03-02,65677.25,66318.45048814504,65494.04986052999,66226.85041841005,12481430
2022-03-03,66776.4375,66959.63760288066,66135.23713991769,66226.83719135803,13232638
2022-03-04,66776.4375,66776.4375,66776.4375,66776.4375,0
2022-03-07,64211.62890625,64669.62911242867,64028.42882377853,64120.02886501426,18617138
2022-03-08,63662.03125,64120.03147482015,62929.23089028777,63020.830935251804,15828269
2022-03-10,63662.03125,63662.03125,63662.03125,63662.03125,0
2022-03-11,64120.02734375,64761.227617187506,63845.22722656251,64578.0275390625,15787655
2022-03-14,64303.25,64303.25,63753.64957264957,64120.04985754986,9040993
2022-03-15,64303.25,64303.25,64303.25,64303.25,0
2022-03-16,64486.4375,64578.037553267044,63845.237127130684,64303.23739346591,10175750
2022-03-17,64486.4375,64486.4375,64486.4375,64486.4375,0
2022-03-18,64761.2421875,64944.44230684229,64303.24188914427,64669.642127828854,14410038
2022-03-21,64028.44140625,65036.0420578505,64028.44140625,64944.44199861409,11169002
2022-03-22,64394.83203125,64578.03212237731,64028.43184899538,64028.43184899538,9402666
2022-03-23,64578.04296875,65219.243395390076,64394.84284685284,64669.643029698585,12398025
2022-03-24,63936.84375,64394.844063395416,63753.64362464183,63753.64362464183,37943357
2022-03-25,63936.84375,64303.24400071633,63753.64362464183,64211.64393803725,12986010
2022-03-28,63845.234375,64028.43447363702,63387.234128407465,63662.03427636299,12619289
2022-03-29,64303.25,64394.85007122507,63936.849715099714,64120.04985754986,13686208
2022-03-30,64359.40625,64911.84750536481,64267.3327074392,64727.70042024321,12670187
2022-03-31,64083.17578125,64635.616951778014,64083.17578125,64359.396366514,12510366
2022-04-01,63622.8203125,63991.114496653405,63530.74676646165,63991.114496653405,15916846
2022-04-04,63806.95703125,63806.95703124999,63162.44231376262,63438.6629069715,11107905
2022-04-05,63714.88671875,64083.18086163295,63622.81318302927,63899.033790191475,8467248
2022-04-06,63070.359375,63346.5799270073,63070.359375,63162.43289233576,15517308
2022-04-07,62610.0078125,63070.375517003675,62610.0078125,63070.375517003675,20683327
2022-04-08,62425.859375,62886.2270695059,62333.78583609882,62702.07999170354,15453191
2022-04-11,62517.93359375,62702.08067355486,62057.56589423785,62425.86005384757,12263735
2022-04-12,61689.26953125,62333.784287546645,61689.26953125,62241.710750932834,13924389
2022-04-13,63254.51953125,63530.74014055677,61873.41648471616,61965.490021151745,17378619
2022-04-14,62149.640625,63254.523125,62149.640625,63254.523125,16409494
2022-04-15,61320.97265625,61965.48738386824,61228.89912373311,61873.413851351346,13176415
2022-04-18,61413.046875,61781.34100918291,60860.60567372564,61228.89980790854,10119203
2022-04-19,61965.48046875,62609.99512444279,61689.25990202451,61781.33342426634,12959434
2022-04-20,62057.56640625,62057.56640625,61228.90454029117,61689.272243601634,16693293
2022-04-21,62333.77734375,62886.218501892545,62149.63029103582,62241.70381739291,12847448
2022-04-22,61689.26953125,61965.49014109142,61413.04892140858,61873.416604477614,11791478
2022-04-25,61044.75,61413.04411764706,61044.75,61228.89705882353,11016474
2022-04-26,60860.59765625,61413.03878474849,60860.59765625,61136.81822049925,12946923
2022-04-27,59847.8046875,60308.17241586539,59755.731141826924,60216.09887019231,18122084
