Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-12-01 00:00:00+00:00,87154.7578125,90379.84375,87068.546875,90379.84375,0
2025-12-01 01:00:00+00:00,87316.8046875,87715.6015625,87043.6796875,87049.8203125,3720790016
2025-12-01 02:00:00+00:00,86749.7421875,87495.3828125,86545.1484375,87231.7890625,2891567104
2025-12-01 03:00:00+00:00,86397.4765625,86789.1953125,86226.484375,86745.25,2436825088
2025-12-01 04:00:00+00:00,85816.6875,86383.203125,85732.765625,86383.203125,2819989504
2025-12-01 05:00:00+00:00,85975.171875,85998.2578125,85665.9453125,85812.5703125,1354584064
2025-12-01 06:00:00+00:00,86270.1796875,86320.9375,85987.671875,85987.671875,1837895680
2025-12-01 07:00:00+00:00,86533.8359375,86541.1640625,86089.78125,86266.3828125,2125672448
2025-12-01 08:00:00+00:00,86847.7734375,86847.7734375,86422.1875,86536.78125,524853248
2025-12-01 09:00:00+00:00,86716.6953125,86896.9453125,86587.5078125,86866.2109375,263401472
2025-12-01 10:00:00+00:00,86638.0703125,86796.2734375,86564.8359375,86726.046875,807399424
2025-12-01 11:00:00+00:00,86227.578125,86646.1171875,86227.578125,86644.25,747626496
2025-12-01 12:00:00+00:00,85484.3046875,86156.4921875,84817.421875,86137.1484375,90808320
2025-12-01 13:00:00+00:00,86006.6015625,86088.3203125,85418.2890625,85418.2890625,1751769088
2025-12-01 14:00:00+00:00,86161.53125,86580.734375,85942.140625,85983.1171875,3965136896
2025-12-01 15:00:00+00:00,84637.1953125,86061.4921875,83909.734375,86044.4921875,4063100928
2025-12-01 16:00:00+00:00,84513.078125,85358.1328125,84104.4921875,84653.6015625,3634044928
2025-12-01 17:00:00+00:00,84953.6953125,85260.0859375,84478.2578125,84529.6953125,2091474944
2025-12-01 18:00:00+00:00,85179.3203125,85477.53125,84732.265625,84933.296875,1276346368
2025-12-01 19:00:00+00:00,85033.78125,85239.2890625,84654.0078125,85218.265625,2018066432
2025-12-01 20:00:00+00:00,85469.125,85813.5859375,85021.875,85021.875,1664278528
2025-12-01 21:00:00+00:00,86425.0703125,86450.90625,85455.1796875,85455.1796875,1892753408
2025-12-01 22:00:00+00:00,86648.2578125,86853.6796875,86381.71875,86440.8828125,841400320
2025-12-01 23:00:00+00:00,86305.8984375,86822.59375,86298.8203125,86599.984375,106921984
2025-12-02 00:00:00+00:00,86500.1875,86620.84375,86205.09375,86306.09375,0
