Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Datetime,,,,,
2025-12-01 14:30:00+00:00,178.86000061035156,179.13999938964844,173.67999267578125,174.6999969482422,41192309
2025-12-01 15:30:00+00:00,178.9600067138672,180.00999450683594,178.22000122070312,178.85000610351562,19055485
2025-12-01 16:30:00+00:00,179.8350067138672,180.0800018310547,178.8300018310547,178.94000244140625,13512472
2025-12-01 17:30:00+00:00,179.40499877929688,180.3000030517578,179.1699981689453,179.8350067138672,11026020
2025-12-01 18:30:00+00:00,179.08999633789062,179.9853973388672,178.86000061035156,179.41000366210938,9463328
2025-12-01 19:30:00+00:00,179.37989807128906,179.47999572753906,178.62489318847656,179.08999633789062,10803646
2025-12-01 20:30:00+00:00,179.99000549316406,180.0,179.22000122070312,179.3800048828125,9755933
2025-12-02 14:30:00+00:00,183.2550048828125,185.66000366210938,181.58999633789062,181.72000122070312,40993279
2025-12-02 15:30:00+00:00,180.55999755859375,184.63999938964844,180.1699981689453,183.22500610351562,26987007
2025-12-02 16:30:00+00:00,182.16000366210938,182.25999450683594,180.0,180.52999877929688,16599118
2025-12-02 17:30:00+00:00,181.71499633789062,182.3800048828125,181.08009338378906,182.16000366210938,11681277
2025-12-02 18:30:00+00:00,181.0,181.84500122070312,180.75,181.7100067138672,8886433
2025-12-02 19:30:00+00:00,181.42999267578125,181.77999877929688,180.93499755859375,180.97999572753906,8959159
2025-12-02 20:30:00+00:00,181.36000061035156,181.6999969482422,181.0,181.41749572753906,7888265
2025-12-03 14:30:00+00:00,180.3300018310547,181.2191925048828,179.110107421875,181.06500244140625,31808430
2025-12-03 15:30:00+00:00,180.5500030517578,182.4199981689453,179.9300994873047,180.32000732421875,18136013
2025-12-03 16:30:00+00:00,180.375,181.22000122070312,179.82000732421875,180.5449981689453,10736030
2025-12-03 17:30:00+00:00,180.64999389648438,180.97999572753906,180.0644989013672,180.3699951171875,7611606
2025-12-03 18:30:00+00:00,180.7449951171875,181.27999877929688,180.4420928955078,180.66000366210938,9127929
2025-12-03 19:30:00+00:00,180.02000427246094,180.9600067138672,179.91000366210938,180.7440948486328,10015000
2025-12-03 20:30:00+00:00,179.63999938964844,180.02999877929688,179.27999877929688,180.02000427246094,49322097
2025-12-04 14:30:00+00:00,181.08009338378906,183.11000061035156,179.97000122070312,181.5500030517578,32979831
2025-12-04 15:30:00+00:00,182.63510131835938,183.02000427246094,181.00999450683594,181.0850067138672,18829532
2025-12-04 16:30:00+00:00,183.5449981689453,184.51499938964844,182.4949951171875,182.63259887695312,17920525
2025-12-04 17:30:00+00:00,183.61500549316406,184.11000061035156,183.05999755859375,183.5399932861328,9241513
2025-12-04 18:30:00+00:00,182.31500244140625,183.7899932861328,182.0,183.60000610351562,9737123
2025-12-04 19:30:00+00:00,182.32350158691406,183.23590087890625,182.25,182.3101043701172,9446805
2025-12-04 20:30:00+00:00,183.39999389648438,183.47999572753906,182.27999877929688,182.3249969482422,7290764
2025-12-05 14:30:00+00:00,182.7698974609375,184.66000366210938,180.91000366210938,183.86000061035156,31800007
2025-12-05 15:30:00+00:00,182.05999755859375,183.34500122070312,181.50999450683594,182.75,15107397
2025-12-05 16:30:00+00:00,181.77980041503906,182.50999450683594,181.4949951171875,182.07000732421875,9661576
2025-12-05 17:30:00+00:00,182.24000549316406,182.3699951171875,181.50999450683594,181.77999877929688,7846279
2025-12-05 18:30:00+00:00,181.45509338378906,182.49000549316406,181.14999389648438,182.22999572753906,9682336
2025-12-05 19:30:00+00:00,181.8574981689453,182.0800018310547,181.32000732421875,181.47000122070312,7419949
2025-12-05 20:30:00+00:00,182.35000610351562,182.63999938964844,181.3000030517578,181.83999633789062,9289965
2025-12-08 14:30:00+00:00,183.05059814453125,185.6999969482422,182.39999389648438,182.6300048828125,31629584
2025-12-08 15:30:00+00:00,183.48500061035156,184.53990173339844,182.86000061035156,183.0500030517578,15218096
2025-12-08 16:30:00+00:00,183.40499877929688,183.6898956298828,182.91000366210938,183.47000122070312,8622856
2025-12-08 17:30:00+00:00,185.89410400390625,187.99000549316406,182.89999389648438,183.40390014648438,28598668
2025-12-08 18:30:00+00:00,184.7064971923828,186.0800018310547,183.72999572753906,185.8800048828125,16919547
2025-12-08 19:30:00+00:00,184.88499450683594,185.0800018310547,184.31019592285156,184.70010375976562,11168209
2025-12-08 20:30:00+00:00,185.5800018310547,185.60000610351562,184.22999572753906,184.89999389648438,10293098
2025-12-09 14:30:00+00:00,184.6300048828125,185.59249877929688,183.32000732421875,185.5500030517578,34498889
2025-12-09 15:30:00+00:00,185.07000732421875,185.71670532226562,184.14999389648438,184.6300048828125,16816492
2025-12-09 16:30:00+00:00,184.88800048828125,185.14999389648438,184.27999877929688,185.07000732421875,9798280
2025-12-09 17:30:00+00:00,184.8582000732422,185.17999267578125,184.75,184.88999938964844,6431260
2025-12-09 18:30:00+00:00,184.5449981689453,184.97999572753906,184.47999572753906,184.85000610351562,6781968
2025-12-09 19:30:00+00:00,184.3300018310547,184.75,184.02000427246094,184.5449981689453,7998590
2025-12-09 20:30:00+00:00,184.97000122070312,185.5500030517578,184.19479370117188,184.3300018310547,42282644
