Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2026-01-22 00:00:00+00:00,89639.8203125,89639.8203125,89372.4296875,89372.4296875,113840128
2026-01-22 00:15:00+00:00,89765.0390625,89800.6796875,89550.375,89630.234375,192917504
2026-01-22 00:30:00+00:00,89849.7265625,89909.84375,89750.734375,89750.734375,0
2026-01-22 00:45:00+00:00,89814.7421875,89931.953125,89814.7421875,89869.8203125,63025152
2026-01-22 01:00:00+00:00,89904.0625,90022.03125,89772.5625,89823.671875,4640768
2026-01-22 01:15:00+00:00,90042.953125,90074.5703125,89913.609375,89913.609375,508239872
2026-01-22 01:30:00+00:00,89921.53125,90078.8984375,89853.1015625,90049.4140625,251322368
2026-01-22 01:45:00+00:00,90045.375,90055.890625,89897.5703125,89908.4453125,0
2026-01-22 02:00:00+00:00,90019.3515625,90042.7578125,89946.3203125,90030.71875,0
2026-01-22 02:15:00+00:00,90209.984375,90254.0546875,90082.203125,90082.203125,390819840
2026-01-22 02:30:00+00:00,90049.3203125,90177.3125,89973.53125,90177.3125,162017280
2026-01-22 02:45:00+00:00,89860.421875,90043.4375,89786.90625,90043.4375,444608512
2026-01-22 03:00:00+00:00,90017.140625,90058.765625,89857.9296875,89857.9296875,0
2026-01-22 03:15:00+00:00,89864.9765625,90032.0234375,89818.21875,90032.0234375,429457408
2026-01-22 03:30:00+00:00,89752.125,89850.046875,89649.703125,89850.046875,194285568
2026-01-22 03:45:00+00:00,89806.5078125,89806.5078125,89749.375,89749.375,373792768
2026-01-22 04:00:00+00:00,89806.140625,89879.4375,89787.375,89799.9140625,186667008
2026-01-22 04:15:00+00:00,89870.5703125,89870.5703125,89745.5078125,89786.6875,166866944
2026-01-22 04:30:00+00:00,89844.0,89927.9921875,89825.8125,89884.3359375,427921408
2026-01-22 04:45:00+00:00,89961.8203125,89975.3671875,89901.5546875,89901.5546875,113049600
2026-01-22 05:00:00+00:00,89937.78125,89974.5625,89913.25,89928.8828125,140546048
2026-01-22 05:15:00+00:00,89904.1796875,89957.0,89882.734375,89957.0,101842944
2026-01-22 05:30:00+00:00,89915.21875,89926.828125,89843.46875,89895.5234375,65028096
2026-01-22 05:45:00+00:00,89859.625,89948.8359375,89859.625,89925.3671875,0
2026-01-22 06:00:00+00:00,89853.171875,90022.2578125,89823.6484375,89937.40625,510468096
2026-01-22 06:15:00+00:00,89915.4375,89984.1484375,89905.59375,89949.03125,548356096
